Vienna,DATE,Y2013,RA2013,14DA2013,Y2014,RA2014,14DA2014,Y2015,RA2015,14DA2015,Y2016,RA2016,14DA2016,Y2017,RA2017,14DA2017,Y2018,RA2018,14DA2018,Y2019,RA2019,14DA2019,Y2020,RA2020,14DA2020,Y2021,RA2021,14DA2021,Y2022,RA2022,14DA2022,Y2023,RA2023,14DA2023
11082099999,4/9/13,0,0.005714286,0.014285714,0.04,0.08,0.074285714,0,0,0.002857143,0.43,0.064285714,0.114285714,0.02,0.088571429,0.049285714,0,0,0.001538462,0,0.035714286,0.027142857,0,0,0.007692308,0.01,0.02,0.071538462,0,0,0.004444444,NaN,0,0.015
11082099999,4/10/13,0,0.005714286,0,0.24,0.08,0.083571429,0,0,0,0.02,0.064285714,0.114285714,0,0.071428571,0.074285714,0,0,0,0,0.024285714,0.027142857,0,0.008571429,0.007692308,0,0.078571429,0.076666667,NaN,0,0.003333333,NaN,0,0
11082099999,4/11/13,0,0.005714286,0,0.28,0.08,0.083571429,0,0,0.022142857,0,0.065714286,0.114285714,0,0.07,0.08,0,0,0,0.08,0.012857143,0.027142857,0,0.014285714,0.007692308,0,0.071428571,0.073333333,NaN,0,0,0,0,0
11082099999,4/12/13,0.04,0.005714286,0.005714286,0,0.12,0.083571429,0,0,0.026428571,0,0.228571429,0.131428571,0.01,0.014285714,0.122142857,0,0,0,0.01,0.014285714,0.027142857,0,0.014285714,0.008333333,0,0.104285714,0.076363636,0,0,0,NaN,0,0
11082099999,4/13/13,0,0.005714286,0.005714286,0,0.142857143,0.097857143,0,0,0.026428571,0,0.167142857,0.131428571,0,0.011428571,0.152857143,0,0,0,0,0.031428571,0.021428571,NaN,0.014285714,0.023333333,0.43,0.102857143,0.076363636,0,0,0.035,0,0,0.022857143
11082099999,4/14/13,0,0.022857143,0.005714286,0,0.127142857,0.112142857,0,0,0.026428571,0.01,0.164285714,0.131428571,0.07,0.061428571,0.15,0,0,0,0,0.031428571,0.015714286,0.06,0.014285714,0.023333333,0.02,0.12,0.080909091,0,0,0.037,NaN,0,0.022857143
11082099999,4/15/13,0,0.022857143,0.005714286,0.28,0.087142857,0.112142857,0,0.044285714,0.026428571,1.14,0.164285714,0.131428571,0,0.072857143,0.122142857,0,0,0,0.01,0.02,0.015714286,0.04,0.016666667,0.023333333,0.27,0.12,0.088181818,0,0,0.033636364,NaN,0,0.022857143
11082099999,4/16/13,0,0.028571429,0.005714286,0.2,0.087142857,0.12,0,0.052857143,0.026428571,0,0.198571429,0.100714286,0,0.155714286,0.126428571,0,0,0,0.12,0.018571429,0.015714286,0,0.046666667,0.023333333,0,0.144,0.098181818,NaN,0,0.055454545,NaN,0,0.02
11082099999,4/17/13,0.12,0.028571429,0.022857143,0.13,0.115714286,0.102857143,0,0.052857143,0.026428571,0,0.198571429,0.099285714,0.35,0.234285714,0.128571429,0,0,0,0,0.018571429,0.027142857,0,0.04,0.023333333,NaN,0.0725,0.098181818,0,0.058333333,0.050833333,0,0.053333333,0.017777778
11082099999,4/18/13,0,0.028571429,0.022857143,0,0.144285714,0.082857143,0.31,0.052857143,0.026428571,0,0.197142857,0.105,0.08,0.23,0.128571429,0,0,0.003076923,0,0.018571429,0.021428571,0,0.031428571,0.023333333,0,0.0975,0.098181818,0,0.061666667,0.046923077,0,0.04,0.02
11082099999,4/19/13,0.08,0.028571429,0.028571429,0,0.104285714,0.089285714,0.06,0.052857143,0.026428571,0.24,0.034285714,0.105714286,0.59,0.23,0.127857143,0,0,0.003076923,0,0.017142857,0.020714286,NaN,0.025714286,0.023333333,NaN,0.06,0.098181818,0,0.061666667,0.046923077,NaN,0.032,0.017777778
11082099999,4/20/13,0,0.028571429,0.028571429,0.2,0.097142857,0.103571429,0,0.052857143,0.026428571,0,0.034285714,0.105714286,0.55,0.241428571,0.127857143,0,0,0.021538462,0,0,0.020714286,0.18,0.025714286,0.021538462,NaN,0.09,0.059090909,0.35,0.087142857,0.046923077,0.16,0.026666667,0.017777778
11082099999,4/21/13,0,0.011428571,0.028571429,0.2,0.078571429,0.103571429,0,0.052857143,0.026428571,0,0.034285714,0.123571429,0.04,0.195714286,0.125,0,0,0.021538462,0,0.022857143,0.022307692,0,0.025714286,0.016923077,0.12,0.072,0.057272727,0.02,0.087142857,0.065384615,0,0.026666667,0.016
11082099999,4/22/13,0,0.011428571,0.028571429,0,0.078571429,0.097857143,0,0.008571429,0.035,0,0.045714286,0.042142857,0,0.184285714,0.142142857,0,0.006666667,0.021538462,0,0.022857143,0.021538462,0,0.025714286,0.014615385,0.12,0.072,0.032727273,0,0.087142857,0.065384615,0,0.032,0.016
11082099999,4/23/13,0,0,0.028571429,0.15,0.091428571,0.085714286,0,0,0.037142857,0,0.012857143,0.042142857,0.08,0.1,0.142142857,0,0.006666667,0.021538462,0,0.022857143,0.015384615,0,0.0225,0.020769231,0.12,0.06,0.032727273,0.24,0.087142857,0.060714286,0,0.026666667,0.016
