TURANY,DATE,Y2013,RA2013,14DA2013,Y2014,RA2014,14DA2014,Y2015,RA2015,14DA2015,Y2016,RA2016,14DA2016,Y2017,RA2017,14DA2017,Y2018,RA2018,14DA2018,Y2019,RA2019,14DA2019,Y2020,RA2020,14DA2020,Y2021,RA2021,14DA2021,Y2022,RA2022,14DA2022,Y2023,RA2023,14DA2023
11723099999,4/21/13,0,0.047142857,0.023571429,0.09,0.05,0.044285714,0,0.002857143,0.001428571,0,0.035714286,0.025714286,0,0.092857143,0.085714286,0,0.002857143,0.007857143,0,0.015714286,0.01,0,0.034285714,0.017142857,0.02,0.027142857,0.015,0,0.015714286,0.020714286,0,0.01,0.072857143
11723099999,4/22/13,0,0.047142857,0.023571429,0,0.054285714,0.036428571,0,0,0.007857143,0,0.005714286,0.025714286,0,0.015714286,0.093571429,0,0.002857143,0.007857143,0,0.015714286,0.015714286,0,0.034285714,0.017142857,0.02,0.027142857,0.015,0,0.022857143,0.017857143,0,0.011428571,0.012857143
11723099999,4/23/13,0,0.044285714,0.023571429,0.24,0.057142857,0.028571429,0,0,0.007857143,0,0.005714286,0.025714286,0,0.02,0.092857143,0,0.005714286,0.002857143,0,0.015714286,0.031428571,0,0.001428571,0.017857143,0.05,0.025714286,0.018571429,0.07,0.035714286,0.017857143,0,0.011428571,0.047142857
11723099999,4/24/13,0,0,0.023571429,0.02,0.057142857,0.029285714,0,0,0.010714286,0.04,0.018571429,0.025714286,0,0.022857143,0.092857143,0.02,0.005714286,0.002857143,0.11,0.017142857,0.036428571,0,0,0.021428571,0,0.012857143,0.018571429,0.02,0.032857143,0.017857143,0.01,0.008571429,0.046428571
11723099999,4/25/13,0,0,0.023571429,0.03,0.044285714,0.029285714,0,0,0.022142857,0,0.021428571,0.010714286,0,0.075714286,0.055,0,0.005714286,0.002857143,0,0.017142857,0.036428571,0,0,0.033571429,0,0.01,0.043571429,0.05,0.032857143,0.017857143,0.01,0.008571429,0.046428571
11723099999,4/26/13,0,0,0.023571429,0.02,0.044285714,0.068571429,0,0.012857143,0.022142857,0,0.021428571,0.011428571,0.03,0.091428571,0.055,0.02,0.005714286,0.016428571,0,0.031428571,0.038571429,0,0,0.021428571,0,0.007142857,0.042857143,0.09,0.032857143,0.017857143,0.04,0.012857143,0.045
11723099999,4/27/13,0,0,0.070714286,0,0.01,0.068571429,0,0.012857143,0.023571429,0.09,0.021428571,0.039285714,0.13,0.092857143,0.085714286,0,0.005714286,0.016428571,0.01,0.062857143,0.04,0,0.001428571,0.021428571,0,0.01,0.036428571,0,0.022857143,0.016428571,0,0.084285714,0.043571429
11723099999,4/28/13,0,0,0.093571429,0,0.008571429,0.062142857,0,0.018571429,0.023571429,0.02,0.015714286,0.039285714,0.37,0.092857143,0.085714286,0,0.002857143,0.016428571,0,0.057142857,0.049285714,0,0.008571429,0.030714286,0,0.01,0.035,0,0.02,0.024285714,0,0.082857143,0.043571429
11723099999,4/29/13,0,0,0.095714286,0,0.004285714,0.062142857,0.09,0.044285714,0.026428571,0,0.015714286,0.039285714,0.11,0.094285714,0.092142857,0,0.002857143,0.016428571,0.1,0.057142857,0.049285714,0,0.032857143,0.030714286,0,0.06,0.037857143,0,0.012857143,0.024285714,0.03,0.081428571,0.043571429
11723099999,4/30/13,0,0.002857143,0.107142857,0,0.08,0.045,0,0.044285714,0.027857143,0,0.017142857,0.039285714,0.01,0.09,0.092142857,0,0.027142857,0.016428571,0.22,0.061428571,0.049285714,0.01,0.041428571,0.030714286,0.07,0.06,0.035,0,0,0.020714286,0.5,0.078571429,0.057857143
